   ,Total,maintenance,classy,sow 2 classy,php8,outage/deploy,professional,prof + lsm classy,professional reported,sum,difference,events,Remaining (total),Email said,Notes/average per month remaining,,,Projection,remaining (projection),average per month remaining (projection),months until sow end
hours per month,200,,,,,,,,,,,,,,,,,,,,
expire,"June 30, 2030",,,,,,,,,,,,,,,,,,,,
months,63,5.25,,,,,,,,,,,,,,,,,,,
total hours (5 years +3 months),12600,,,,,,,,,,,,,,,,,,,,
April 2025 - June 2026,15,,,,,,,,,,,,,,,,,,,,
Current SOW SAL-152,3000,,,,,,,,,,,,,,,,,,,,
opportunity id,noko uid,,,,,,,,,,,,,,,,,,,,
4404,703852,,,,,,,,,,,,,,,242,days until,,,,
rollover,0,0,,,,,0,,,0,,,3000,,200.00,average per month over 15 months,,6/30/2026,3000,200.00,
 Apr  ,296.5,231,,,,,65.5,,,296.5,0,,2703.5,,193.11,14.00,months until,296.5,2703.5,193.11,14
 May  ,294.5,267.25,,,,,27.25,,,294.5,0,,2409,,185.31,13.00,,294.5,2409,185.31,13
 Jun  ,222.75,172,,,,,50.75,,,222.75,0,,2186.25,,182.19,12.00,,222.75,2186.25,182.19,12
 Jul  ,134,119.5,,,,,14.5,,,134,0,,2052.25,,184.45,11.13,,160,2026.25,184.20,11
 Aug  ,,,,,,,,,,0,0,,2052.25,,184.45,11.13,,150,1876.25,187.63,10
 Sep  ,,,,,,,,,,0,0,,2052.25,,184.45,11.13,,150,1726.25,191.81,9
 Oct  ,,,,,,,,,,0,0,,2052.25,,184.45,11.13,,150,1576.25,197.03,8
 Nov  ,,,,,,,,,,0,0,,2052.25,,184.45,11.13,,150,1426.25,203.75,7
 Dec  ,,,,,,,,,,0,0,,2052.25,,184.45,11.13,,150,1276.25,212.71,6
 Jan  ,,,,,,,,,,0,0,,2052.25,,184.45,11.13,,176,1100.25,220.05,5
 Feb  ,,,,,,,,,,0,0,,2052.25,,184.45,11.13,,180,920.25,230.06,4
 Mar  ,,,,,,,,,,0,0,,2052.25,,184.45,11.13,,180,740.25,246.75,3
 Apr  ,,,,,,,,,,0,0,,2052.25,,184.45,11.13,,180,560.25,280.13,2
 May  ,,,,,,,,,,0,0,,2052.25,,184.45,11.13,,180,380.25,380.25,1
 Jun  ,,,,,,,,,,0,0,,2052.25,,184.45,11.13,,180,200.25,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,
Total,947.75,789.75,0,0,0,0,158,,,,,,,0,0.00,future,,"2,799.75",,,
Overage,-2052.25,,,,,,,,,,,,,top up,,,,-200.25,,,
Percent over,-68.41%,,,,,,,,,,,,,,,,,-6.68%,146.2,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,350,,,,,,,,,,,,,,,,,,,,
